"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Sign in page","UI validation","0","0","4","0","0"
"","Sign in page","Checkbox validation","1","0","1","0","0"
"","Sign in page","Sign in with valid credentials","0","1","0","0","0"
"","Sign Up page Validation","UI Validation","0","1","0","0","0"
"","Sign in page","User should not be able to sign in with invalid credentials","0","3","9","1","0"
"","Signin","Sign in with invalid email","0","1","0","0","0"
"","Signin","Sign in with valid credentials","0","0","1","0","0"
"","Sign Up page Validation","sign up page display","0","1","0","0","0"
"","Sign in page","Sign in with invalid email","0","1","0","0","0"
